date,country,price
2022-01-01,Austria,83.88291666666666
2022-01-02,Austria,54.32125
2022-01-03,Austria,87.84708333333333
2022-01-04,Austria,154.53625
2022-01-05,Austria,133.21458333333334
2022-01-06,Austria,202.28916666666666
2022-01-07,Austria,181.86041666666668
2022-01-08,Austria,175.33791666666667
2022-01-09,Austria,175.92708333333334
2022-01-10,Austria,262.06083333333333
2022-01-11,Austria,254.18208333333334
2022-01-12,Austria,233.53916666666666
2022-01-13,Austria,195.535
2022-01-14,Austria,202.6125
2022-01-15,Austria,217.14041666666665
2022-01-16,Austria,184.00583333333333
2022-01-17,Austria,187.13041666666666
2022-01-18,Austria,236.98083333333332
2022-01-19,Austria,201.49708333333334
2022-01-20,Austria,180.71166666666667
2022-01-21,Austria,178.01708333333335
2022-01-22,Austria,191.26166666666666
2022-01-23,Austria,194.7425
2022-01-24,Austria,247.51791666666668
2022-01-25,Austria,296.8933333333333
2022-01-26,Austria,244.21541666666667
2022-01-27,Austria,193.26916666666668
2022-01-28,Austria,204.615
2022-01-29,Austria,161.92875
2022-01-30,Austria,140.49916666666667
2022-01-31,Austria,206.50416666666666
2022-02-01,Austria,206.90166666666667
2022-02-02,Austria,193.39
2022-02-03,Austria,197.44
2022-02-04,Austria,192.565
2022-02-05,Austria,152.86625
2022-02-06,Austria,136.58541666666667
2022-02-07,Austria,183.13291666666666
2022-02-08,Austria,158.22625
2022-02-09,Austria,189.085
2022-02-10,Austria,195.28833333333333
2022-02-11,Austria,193.34083333333334
2022-02-12,Austria,157.7375
2022-02-13,Austria,134.64666666666668
2022-02-14,Austria,178.58416666666668
2022-02-15,Austria,195.80125
2022-02-16,Austria,182.84041666666667
2022-02-17,Austria,138.74
2022-02-18,Austria,133.54916666666668
2022-02-19,Austria,101.21958333333333
2022-02-20,Austria,95.09791666666666
2022-02-21,Austria,117.9425
2022-02-22,Austria,137.45291666666665
2022-02-23,Austria,148.81333333333333
2022-02-24,Austria,141.21208333333334
2022-02-25,Austria,168.18583333333333
2022-02-26,Austria,229.8975
2022-02-27,Austria,191.01875
2022-02-28,Austria,246.9725
2022-03-01,Austria,254.37208333333334
2022-03-02,Austria,281.98041666666666
2022-03-03,Austria,340.8258333333333
2022-03-04,Austria,368.09
2022-03-05,Austria,351.3095833333333
2022-03-06,Austria,366.19625
2022-03-07,Austria,429.59333333333336
2022-03-08,Austria,554.83
2022-03-09,Austria,470.48291666666665
2022-03-10,Austria,358.175
2022-03-11,Austria,300.8979166666667
2022-03-12,Austria,227.92625
2022-03-13,Austria,223.38208333333333
2022-03-14,Austria,289.93791666666664
2022-03-15,Austria,302.02916666666664
2022-03-16,Austria,267.4925
2022-03-17,Austria,247.8225
2022-03-18,Austria,235.5175
2022-03-19,Austria,185.72708333333333
2022-03-20,Austria,110.75541666666666
2022-03-21,Austria,226.04458333333332
2022-03-22,Austria,237.72416666666666
2022-03-23,Austria,238.31791666666666
2022-03-24,Austria,242.53291666666667
2022-03-25,Austria,251.43
2022-03-26,Austria,217.3625
2022-03-27,Austria,200.29708333333335
2022-03-28,Austria,231.13375
2022-03-29,Austria,254.26749999999998
2022-03-30,Austria,273.97125
2022-03-31,Austria,220.97125
2022-04-01,Austria,191.61083333333335
2022-04-02,Austria,201.08208333333334
2022-04-03,Austria,192.09833333333333
2022-04-04,Austria,208.33416666666668
2022-04-05,Austria,219.84625
2022-04-06,Austria,163.53208333333333
2022-04-07,Austria,135.79791666666668
2022-04-08,Austria,160.19208333333333
2022-04-09,Austria,110.6125
2022-04-10,Austria,102.24833333333333
2022-04-11,Austria,225.02083333333334
2022-04-12,Austria,202.37166666666667
2022-04-13,Austria,229.92
2022-04-14,Austria,226.67
2022-04-15,Austria,192.37583333333333
2022-04-16,Austria,146.72208333333333
2022-04-17,Austria,104.35458333333334
2022-04-18,Austria,129.835
2022-04-19,Austria,221.03375
2022-04-20,Austria,207.07208333333332
2022-04-21,Austria,202.13
2022-04-22,Austria,198.85458333333332
2022-04-23,Austria,140.30541666666667
2022-04-24,Austria,131.735
2022-04-25,Austria,225.87125
2022-04-26,Austria,240.35458333333332
2022-04-27,Austria,222.70625
2022-04-28,Austria,229.85666666666668
2022-04-29,Austria,227.41708333333332
2022-04-30,Austria,202.32541666666665
2022-05-01,Austria,194.7675
2022-05-02,Austria,217.39708333333334
2022-05-03,Austria,219.89291666666668
2022-05-04,Austria,233.33208333333334
2022-05-05,Austria,235.21458333333334
2022-05-06,Austria,225.67708333333334
2022-05-07,Austria,199.73416666666665
2022-05-08,Austria,173.21875
2022-05-09,Austria,218.25083333333333
2022-05-10,Austria,200.23833333333334
2022-05-11,Austria,185.62791666666666
2022-05-12,Austria,181.91208333333333
2022-05-13,Austria,192.10041666666666
2022-05-14,Austria,169.55208333333334
2022-05-15,Austria,146.32208333333332
2022-05-16,Austria,216.95416666666665
2022-05-17,Austria,226.1025
2022-05-18,Austria,206.88958333333332
2022-05-19,Austria,211.89833333333334
2022-05-20,Austria,203.18625
2022-05-21,Austria,123.0325
2022-05-22,Austria,164.99625
2022-05-23,Austria,183.29625
2022-05-24,Austria,179.26624999999999
2022-05-25,Austria,174.25625
2022-05-26,Austria,89.18416666666667
2022-05-27,Austria,68.01041666666667
2022-05-28,Austria,81.75083333333333
2022-05-29,Austria,160.48541666666668
2022-05-30,Austria,225.38
2022-05-31,Austria,212.16041666666666
2022-06-01,Austria,215.55375
2022-06-02,Austria,193.20916666666668
2022-06-03,Austria,186.34958333333333
2022-06-04,Austria,170.63333333333333
2022-06-05,Austria,138.95791666666668
2022-06-06,Austria,117.05708333333334
2022-06-07,Austria,185.96416666666667
2022-06-08,Austria,191.36249999999998
2022-06-09,Austria,189.04666666666668
2022-06-10,Austria,186.34
2022-06-11,Austria,137.51208333333332
2022-06-12,Austria,118.09166666666667
2022-06-13,Austria,175.06416666666667
2022-06-14,Austria,202.43
2022-06-15,Austria,216.925
2022-06-16,Austria,208.5625
2022-06-17,Austria,254.15958333333333
2022-06-18,Austria,210.24041666666668
2022-06-19,Austria,157.53416666666666
2022-06-20,Austria,289.55
2022-06-21,Austria,317.52
2022-06-22,Austria,342.6145833333333
2022-06-23,Austria,309.65625
2022-06-24,Austria,283.53291666666667
2022-06-25,Austria,251.86416666666668
2022-06-26,Austria,227.06833333333333
2022-06-27,Austria,333.9741666666667
2022-06-28,Austria,362.48083333333335
2022-06-29,Austria,334.1775
2022-06-30,Austria,349.8520833333333
2022-07-01,Austria,330.4125
2022-07-02,Austria,254.53125
2022-07-03,Austria,228.53208333333333
2022-07-04,Austria,347.5054166666667
2022-07-05,Austria,352.97291666666666
2022-07-06,Austria,340.63416666666666
2022-07-07,Austria,309.29333333333335
2022-07-08,Austria,310.78458333333333
2022-07-09,Austria,155.33916666666667
2022-07-10,Austria,142.3675
2022-07-11,Austria,383.065
2022-07-12,Austria,398.29083333333335
2022-07-13,Austria,377.83958333333334
2022-07-14,Austria,386.6479166666667
2022-07-15,Austria,386.9845833333333
2022-07-16,Austria,286.015
2022-07-17,Austria,250.07208333333332
2022-07-18,Austria,451.28083333333336
2022-07-19,Austria,437.47791666666666
2022-07-20,Austria,424.56875
2022-07-21,Austria,451.2216666666667
2022-07-22,Austria,437.99375
2022-07-23,Austria,365.96666666666664
2022-07-24,Austria,327.13958333333335
2022-07-25,Austria,388.7175
