market,date,com.l,idx.l,ncm.l,nrp.l,tot.l,com.s,idx.s,ncm.s,nrp.s,tot.s,com.n,idx.n,ncm.n,nrp.n,tot.n,delta_com.l,delta_idx.l,delta_ncm.l,delta_nrp.l,delta_tot.l,delta_com.s,delta_idx.s,delta_ncm.s,delta_nrp.s,delta_tot.s,delta_com.n,delta_idx.n,delta_ncm.n,delta_nrp.n,delta_tot.n,share_com.l,share_idx.l,share_ncm.l,share_nrp.l,share_tot.l,share_com.s,share_idx.s,share_ncm.s,share_nrp.s,share_tot.s,traders_com.l,traders_idx.l,traders_ncm.l,traders_nrp.l,traders_tot.l,traders_com.s,traders_idx.s,traders_ncm.s,traders_nrp.s,traders_tot.s,open_int,delta_open_int
Cocoa - Ice Futures U.s.,2018-03-13T00:00:00Z,105174,53704,85258,17312,344168,175740,22430,51565,11713,349767,-70566,31274,33693,5599,-5599,1322,825,9480,217,26559,7510,2853,-206,1687,25089,-6188,-2028,9686,-1470,1470,29.1,14.9,23.6,4.8,95.2,48.6,6.2,14.3,3.2,96.8,45,26,120,NA,237,39,8,64,NA,158,361480,26775
Cocoa - Ice Futures U.s.,2018-03-20T00:00:00Z,106342,54153,84864,17638,344040,174394,24474,51381,12749,348929,-68052,29679,33483,4889,-4889,1168,450,-394,326,-128,-1346,2044,-184,1036,-838,2514,-1594,-210,-710,710,29.4,15,23.5,4.9,95.1,48.2,6.8,14.2,3.5,96.5,46,25,107,NA,226,42,8,69,NA,166,361678,198
Cocoa - Ice Futures U.s.,2018-03-27T00:00:00Z,106753,55884,86784,19018,351898,178210,26418,51700,12112,358805,-71457,29466,35084,6906,-6907,411,1731,1920,1380,7859,3816,1945,319,-637,9877,-3405,-214,1601,2017,-2018,28.8,15.1,23.4,5.1,94.9,48,7.1,13.9,3.3,96.7,45,27,97,NA,225,44,10,80,NA,175,370917,9239
Cocoa - Ice Futures U.s.,2018-04-03T00:00:00Z,107454,51208,87917,17741,348024,178796,23591,50062,11872,353894,-71342,27617,37855,5869,-5870,700,-4676,1133,-1277,-3874,587,-2828,-1639,-240,-4911,113,-1848,2772,-1037,1037,29.4,14,24,4.9,95.1,48.9,6.4,13.7,3.2,96.8,43,25,98,NA,229,43,10,87,NA,188,365766,-5151
Cocoa - Ice Futures U.s.,2018-04-10T00:00:00Z,95338,49722,90893,16444,319290,167895,23295,50564,10643,325091,-72557,26427,40329,5801,-5801,-12116,-1487,2976,-1297,-28734,-10902,-296,503,-1229,-28802,-1214,-1191,2473,-68,68,28.4,14.8,27.1,4.9,95.1,50,6.9,15.1,3.2,96.8,41,26,97,NA,222,41,12,83,NA,174,335734,-30031
Cocoa - Ice Futures U.s.,2018-04-17T00:00:00Z,87723,49979,96942,14120,324249,166626,20667,51612,9859,328510,-78903,29312,45330,4261,-4261,-7616,257,6049,-2324,4959,-1269,-2628,1048,-784,3419,-6347,2885,5001,-1540,1540,25.9,14.8,28.6,4.2,95.8,49.2,6.1,15.3,2.9,97.1,39,26,111,NA,225,40,10,77,NA,170,338369,2635
Cocoa - Ice Futures U.s.,2018-04-24T00:00:00Z,91240,49988,101920,14176,344264,175599,20779,50921,10024,348416,-84359,29209,50999,4152,-4152,3518,9,4978,56,20015,8973,113,-691,166,19905,-5455,-104,5669,-110,110,25.5,13.9,28.4,4,96,49,5.8,14.2,2.8,97.2,41,25,114,NA,233,42,12,73,NA,176,358440,20071
Cocoa - Ice Futures U.s.,2018-05-01T00:00:00Z,101919,50867,106387,15950,366012,187276,18807,57595,11446,370516,-85357,32060,48792,4504,-4504,10679,880,4468,1774,21748,11677,-1973,6674,1421,22100,-998,2853,-2206,353,-352,26.7,13.3,27.9,4.2,95.8,49,4.9,15.1,3,97,41,25,106,NA,226,44,10,75,NA,172,381962,23522
Cocoa - Ice Futures U.s.,2018-05-08T00:00:00Z,100712,49316,105620,15796,358058,185324,17857,57561,10702,363152,-84612,31459,48059,5094,-5094,-1207,-1551,-767,-154,-7953,-1952,-950,-34,-744,-7364,745,-601,-733,590,-589,26.9,13.2,28.3,4.2,95.8,49.6,4.8,15.4,2.9,97.1,40,24,102,NA,217,43,10,78,NA,167,373854,-8108
Cocoa - Ice Futures U.s.,2018-05-15T00:00:00Z,102243,50998,102814,15181,360048,189505,18474,52829,10428,364801,-87262,32524,49985,4753,-4753,1531,1682,-2806,-614,1989,4182,617,-4732,-274,1649,-2651,1065,1926,-340,340,27.2,13.6,27.4,4,96,50.5,4.9,14.1,2.8,97.2,41,24,97,NA,215,43,9,75,NA,165,375229,1375
Cocoa - Ice Futures U.s.,2018-05-22T00:00:00Z,110088,50623,95274,16658,356436,195274,19790,46374,11205,361889,-85186,30833,48900,5453,-5453,7845,-374,-7540,1477,-3612,5768,1317,-6455,777,-2912,2077,-1691,-1085,700,-700,29.5,13.6,25.5,4.5,95.5,52.3,5.3,12.4,3,97,41,25,90,NA,213,43,9,80,NA,168,373094,-2135
Cocoa - Ice Futures U.s.,2018-05-29T00:00:00Z,114409,61100,90158,15593,364216,197909,31494,42137,9721,370088,-83500,29606,48021,5872,-5872,4322,10476,-5115,-1065,7780,2635,11704,-4237,-1484,8199,1687,-1228,-878,419,-419,30.1,16.1,23.7,4.1,95.9,52.1,8.3,11.1,2.6,97.4,40,27,94,NA,219,42,14,77,NA,182,379809,6715
Cocoa - Ice Futures U.s.,2018-06-05T00:00:00Z,114135,65339,76227,14708,328159,187653,34898,38872,8986,333882,-73518,30441,37355,5722,-5723,-275,4239,-13932,-885,-36057,-10256,3404,-3265,-735,-36207,9981,835,-10667,-150,150,33.3,19.1,22.2,4.3,95.7,54.7,10.2,11.3,2.6,97.4,44,27,86,NA,210,43,13,64,NA,168,342867,-36942
Cocoa - Ice Futures U.s.,2018-06-12T00:00:00Z,104395,58683,69249,13024,290580,168762,31050,37815,7725,295880,-64367,27633,31434,5299,-5300,-9740,-6656,-6977,-1684,-37579,-18891,-3848,-1057,-1261,-38002,9151,-2808,-5920,-423,423,34.4,19.3,22.8,4.3,95.7,55.6,10.2,12.5,2.5,97.5,45,26,91,NA,209,41,14,57,NA,171,303605,-39263
Cocoa - Ice Futures U.s.,2018-06-19T00:00:00Z,104359,61565,64851,13649,287227,167836,32770,36198,7620,293256,-63477,28795,28653,6029,-6029,-36,2882,-4398,625,-3354,-926,1721,-1616,-105,-2624,890,1161,-2782,730,-730,34.7,20.5,21.6,4.5,95.5,55.8,10.9,12,2.5,97.5,42,28,87,NA,196,39,15,52,NA,155,300876,-2729
