Date,Food Price Index,Meat,Dairy,Cereals,Oils,Sugar
1992-01-01T00:00:00Z,64.78224442616668,79.32284193179461,52.860715561244646,63.94967449356621,52.84386558766816,51.48898360811109
1992-02-01T00:00:00Z,65.6734220777016,80.89937040404888,52.860715561244646,66.45296186482868,51.96145175178613,48.518465323027755
1992-03-01T00:00:00Z,66.12641402195418,81.39789254088046,52.41364098145991,65.8660597760012,54.07727277336676,50.870125632052066
1992-04-01T00:00:00Z,64.48482923411912,77.41513958029225,52.41364098145991,62.972818378378065,53.946584011684514,58.54396453518401
1992-05-01T00:00:00Z,64.82019443804592,78.15711128508441,54.569260017842694,61.99354560084696,54.015659104530336,59.34847990406074
1992-06-01T00:00:00Z,65.61080637792902,77.97267799311777,57.652694910346085,61.81210498996876,54.82149741104158,64.11368631971524
1992-07-01T00:00:00Z,64.43417130919858,78.60270042217894,58.10136873428571,58.54022948269751,51.9280574440076,63.80425733168574
1992-08-01T00:00:00Z,62.805213785822566,77.54243802730456,56.63575119285615,56.09091105816903,51.01625409496726,60.83373904660241
1992-09-01T00:00:00Z,63.49493730559484,77.14368019082565,58.138315321065015,58.311746478652076,52.20311192641495,57.61567757109547
1992-10-01T00:00:00Z,61.52460940094325,73.4635407512784,54.94114504793319,58.19147451391484,52.21723238850873,53.9025297147413
1992-11-01T00:00:00Z,62.42391234895284,75.4750127415761,53.80406897319524,58.79170940275746,53.87625273671777,53.03612854825867
1992-12-01T00:00:00Z,61.03388941296138,72.77528657356721,53.22780285887046,58.51858183423734,52.99671744203535,50.43692504881074
1993-01-01T00:00:00Z,61.34574322963039,72.60721936767722,53.299064330268735,59.054467099252264,53.97808945500464,50.99389722726387
1993-02-01T00:00:00Z,61.18937845112234,72.14723533738778,54.01953403346332,58.05466938640059,54.24469834236562,52.974242750652756
1993-03-01T00:00:00Z,62.88576530712526,75.67197501369417,53.32142500099516,57.765181773012245,53.05125655949961,65.72271705746871
1993-04-01T00:00:00Z,62.52851243381849,74.77121656346812,52.40636837391308,57.333813810208575,52.83402090233954,69.00266433058158
1993-05-01T00:00:00Z,62.049882158414796,74.89321220637362,51.73855936834096,55.37130465361149,51.895579221478485,73.21089856778296
1993-06-01T00:00:00Z,61.48045055879598,77.57731430026581,51.781710796771016,52.843554894478594,51.24333543598992,64.29934371253296
1993-07-01T00:00:00Z,61.876108006719946,76.98369943847496,49.73447146922829,55.791964367902715,53.28307732962024,59.90545208251387
1993-08-01T00:00:00Z,60.53265111224339,73.82709952105238,47.95448586090982,56.554122950003,52.605188613966504,57.80133496391316
1993-09-01T00:00:00Z,60.92011116564973,74.33529700743446,45.06709109550774,58.44481775944709,52.5425489431055,59.03905091603122
1993-10-01T00:00:00Z,61.18819864733516,73.48503678345617,41.00719774282531,61.43366235680169,52.117932752912346,63.680485736473926
1993-11-01T00:00:00Z,62.99600144084533,72.40728713540673,41.23153465479513,66.71699208021664,56.21786455158946,62.628427177173585
1993-12-01T00:00:00Z,64.34934891396502,70.14580526502019,41.83675113512476,68.85850527763641,63.58417550309393,65.10385908140968
1994-01-01T00:00:00Z,64.51915085585945,69.47611554761403,45.50661978610025,68.59867492482681,63.87968094560017,63.74237153407984
1994-02-01T00:00:00Z,64.11789757887549,70.9164482606551,45.44899317466778,66.7974127301927,60.39747837341195,66.96043300958678
1994-03-01T00:00:00Z,64.52401591272242,72.52612465880479,46.010784105990126,64.14992528903272,61.31369661558185,72.65392638932984
1994-04-01T00:00:00Z,63.701783024381974,72.90165466154664,42.326749700480065,62.41540188425502,63.65730388128167,68.13626316409893
1994-05-01T00:00:00Z,65.58254435204616,76.10150652011362,42.326749700480065,61.98985120429409,67.78279328147883,71.66375362763539
1994-06-01T00:00:00Z,65.19220423651879,74.43400497262334,45.12767713667571,60.091321967069334,68.47110669478079,74.57238611511282
1994-07-01T00:00:00Z,63.9207343138483,74.99764797833552,45.56858924427847,56.01105555262463,67.15342416156537,72.83958378214753
1994-08-01T00:00:00Z,66.19581516181586,76.58570570184033,46.58576746620601,57.49680765284026,73.32776599482666,74.88181510314233
1994-09-01T00:00:00Z,69.2824876248993,77.86691929710636,49.93611145831316,60.193837214037586,80.499557164174945,77.91421918583157
1994-10-01T00:00:00Z,69.8897423280794,78.08941238391436,52.014941700846805,61.65343989983892,78.99701312732674,78.90439194752601
1994-11-01T00:00:00Z,73.24388590488657,81.89466618780415,53.16747392949636,61.136364711118276,88.30944073787187,86.26880186262844
1994-12-01T00:00:00Z,73.10081323122022,78.20459230856854,55.021967260060194,62.707790824890914,88.62378411042073,90.78646508785934
1995-01-01T00:00:00Z,72.86454692935816,78.57648273980183,58.92508254926901,62.871389486974024,82.6566411981908,91.34343726631245
1995-02-01T00:00:00Z,74.43162319157595,83.10597943966113,61.14814824921085,62.51428596054038,82.66991005371176,89.17743435010587
1995-03-01T00:00:00Z,75.13464571516356,84.13548318016235,61.79228126086191,62.16595537392217,84.41751061996679,90.29137870701211
1995-04-01T00:00:00Z,73.97663159852635,84.92706870739441,61.136165535208896,62.651855041132414,77.93804108566668,84.78354272008677
1995-05-01T00:00:00Z,73.99241214508667,83.78647925673293,61.239686749374435,64.90775655717799,76.78877539462017,83.66959836318053
1995-06-01T00:00:00Z,75.08616968366421,80.96634967988491,61.239686749374435,69.14484330110487,80.32960832750491,86.76388824347565
1995-07-01T00:00:00Z,79.52227400938997,87.40559937310442,64.56384768841394,74.01351769906452,83.96209045832857,84.10279894642184
1995-08-01T00:00:00Z,78.04801808641724,87.07668747336932,64.33761997337872,72.64226758344064,79.9460957635866,80.32776529246178
1995-09-01T00:00:00Z,78.25739342379461,88.42553039722675,64.27996140964862,75.90886729945277,76.28323142757452,72.34449740130032
1995-10-01T00:00:00Z,80.36770796240519,88.81072849810049,64.80648342887248,80.17270722233431,79.94507917463008,73.27278436538886
1995-11-01T00:00:00Z,79.82393323425862,87.22597504770272,64.80648342887248,80.4585865307344,78.98752035967662,74.1391855318715
1995-12-01T00:00:00Z,77.99957848508487,81.22559048985026,64.42581737806225,82.7175662328008,75.57615343127617,76.18141685286629
1996-01-01T00:00:00Z,76.99001665735611,79.83587467867476,64.32996440198305,83.3228217712334,70.75167297011824,77.54290440019615
1996-02-01T00:00:00Z,77.46007149656131,79.92259526186857,64.16787049481238,85.72874709423826,68.6290273116886,79.27570673316143
1996-03-01T00:00:00Z,78.58428019130069,82.90957038289766,62.957400451291534,86.87588636591504,68.17056992801433,79.89456470922045
1996-04-01T00:00:00Z,80.77672512191273,80.80260110855178,62.69337928574568,95.32510192081827,73.55675438843821,74.1391855318715
1996-05-01T00:00:00Z,82.36252957358525,83.11763344524513,61.040911978212236,99.95018455649202,73.36821674437878,70.48792347312323
1996-06-01T00:00:00Z,80.46296276805987,83.47277498231927,61.143149391703716,94.338247804289,68.85370557376216,75.31501568638365
